Singer,Text
BTS,"What my SUGA wants my SUGA gets , lets go the the GRAMMY and show these silly haters who is BTS"
BTS,"Boy With Luv get 10M likes. 
Fake Love, DNA and Idol are coming. 
------>"
BTS,Congratulations Army for 10m likes of Boy with Luv!!!
BTS,"[UPDATE]
 
   BOY WITH LUV 10m likes 
   First Kpop group to achieve this 

  Congratulations to BTS"
BTS,"BTS = 7 LEGENDS
BTS = 7 PERFECT
BTS = 7 DIAMONDS
BTS = 7 VISUALS
BTS = 7 CRACK HEADS
BTS = 7 ANGELS

7 - 1 = 0
WE PURPLE OUR 7 ANGELS"
BTS,"Before: La la la la
Now: Oh my my my

I died"
BTS,Bangtan and army is the best family ever !!
BTS,Almost 10mil likes army!!! And almost 26mil subs omfg!! The power of bts and army <U+0001F91F>
BTS,"10 MILLION(For Taehyung)
10 MILLION(For Namjoon)
10 MILLION(For Jin)
10 MILLION(For J-hope)
10 MILLION(For Jungkook)
10 MILLION(For Suga)
10 MILLION(For Jimin)
10 MILLION(For BTS)
10 MILLION( For Army)"
BTS,"10M LIKES!!!!

FIRST KPOP GROUP TO ACHIEVE THIS MILESTONE!!!"
BTS,"Welcome to all the new ARMYs!!!

Thank you all for joining our family!!"
BTS,20M subscribers twitter; congrulations my babies!!!
BTS,"DNA 1B!
Fake Love 700M!
Fire 675M!
Mic Drop 600M !
Idol 575M!
Dope 550M!
Blood sweat and tears 550M !
Boy with luv 550M!
Save me 500M!
Not today 450M!
Boy in luv 350M!
Spring day 325M!
Fighting Army !!!!! By 2020!"
BTS,Congratulation army for 10M like !!! Wow
BTS,"Bwl has achieved
- Song of the year
- Collaboration of the year
- Most viewed in 24 Hours
- Fastest mv in yt history to achieve 10M likes

- did I mention SONG OF THE YEAR"
BTS,"WE HAD 90M! 
WE HAD 90M! 
We want it back it's our blood sweat and tears yt!!!!!!!!"
BTS,Boy in luv is now on top 20 most liked video in YT. Ranking 19th <U+0001F929>
