"","Unicode","Description"
"1","U+1F601","GRINNING FACE WITH SMILING EYES"
"2","U+1F602","FACE WITH TEARS OF JOY"
"3","U+1F603","SMILING FACE WITH OPEN MOUTH"
"4","U+1F604","SMILING FACE WITH OPEN MOUTH AND SMILING EYES"
"5","U+1F605","SMILING FACE WITH OPEN MOUTH AND COLD SWEAT"
"6","U+1F606","SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES"
"7","U+1F609","WINKING FACE"
"8","U+1F60A","SMILING FACE WITH SMILING EYES"
"9","U+1F60B","FACE SAVOURING DELICIOUS FOOD"
"10","U+1F60C","RELIEVED FACE"
"11","U+1F60D","SMILING FACE WITH HEART-SHAPED EYES"
"12","U+1F60F","SMIRKING FACE"
"13","U+1F612","UNAMUSED FACE"
"14","U+1F613","FACE WITH COLD SWEAT"
"15","U+1F614","PENSIVE FACE"
"16","U+1F616","CONFOUNDED FACE"
"17","U+1F618","FACE THROWING A KISS"
"18","U+1F61A","KISSING FACE WITH CLOSED EYES"
"19","U+1F61C","FACE WITH STUCK-OUT TONGUE AND WINKING EYE"
"20","U+1F61D","FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES"
"21","U+1F61E","DISAPPOINTED FACE"
"22","U+1F620","ANGRY FACE"
"23","U+1F621","POUTING FACE"
"24","U+1F622","CRYING FACE"
"25","U+1F623","PERSEVERING FACE"
"26","U+1F624","FACE WITH LOOK OF TRIUMPH"
"27","U+1F625","DISAPPOINTED BUT RELIEVED FACE"
"28","U+1F628","FEARFUL FACE"
"29","U+1F629","WEARY FACE"
"30","U+1F62A","SLEEPY FACE"
"31","U+1F62B","TIRED FACE"
"32","U+1F62D","LOUDLY CRYING FACE"
"33","U+1F630","FACE WITH OPEN MOUTH AND COLD SWEAT"
"34","U+1F631","FACE SCREAMING IN FEAR"
"35","U+1F632","ASTONISHED FACE"
"36","U+1F633","FLUSHED FACE"
"37","U+1F635","DIZZY FACE"
"38","U+1F637","FACE WITH MEDICAL MASK"
"39","U+1F638","GRINNING CAT FACE WITH SMILING EYES"
"40","U+1F639","CAT FACE WITH TEARS OF JOY"
"41","U+1F63A","SMILING CAT FACE WITH OPEN MOUTH"
"42","U+1F63B","SMILING CAT FACE WITH HEART-SHAPED EYES"
"43","U+1F63C","CAT FACE WITH WRY SMILE"
"44","U+1F63D","KISSING CAT FACE WITH CLOSED EYES"
